"source","pagePath","visits"
"google","/d2d-engineering-colleges-list",1
"google","/gujarat-mca-colleges-list",1
"google","/medicalcollege/shree-o-h-nazar-ayurved-college-surat",1
"google","/search2.php",1
"google","/d2dpharmacy/vidhyadeep-college-of-pharmacy-surat-",1
"googleads.g.doubleclick.net","/",1
"(direct)","/",7
"docstoc.com","/",1
"facebook.com","/about-us",1
"facebook.com","/",11
"google","/about-us",1
"google","/",12
"google","/architecture-colleges-list",1
"google","/mpharm-colleges-list",1
"google","/merit-calculator",1
"google","/d2dpharmacy/shree-swaminarayan-sanskar-pharmacy-college-zundal",1
"googleads.g.doubleclick.net","/",1
"m.facebook.com","/",2
"search.sweetim.com","/",1
"(direct)","/d2dintake/chhotubhai-gopalbhai-patel-institute-of-technology-tarsadi-bardoli",1
"(direct)","/",1
"(direct)","/gujarat-d2d-engineering-college",1
"(direct)","/bindingmca.php",1
"(direct)","/gujarat-mca-colleges-list",1
"(direct)","/bindingmecollege.php",1
"facebook.com","/",1
"google","/MBA-MCA/d-l-patel-institute-of-management-technology-mba-programme-sfi-himmatnagar",1
"google","/engineering-admission-possibilities",1
"google","/",12
"google","/engineering-colleges-list",1
"google","/gujarat-mca-colleges-list",1
"google","/new_mba_college_list.php",1
"google","/merit-calculator",1
"google","/newmecollege.php",1
"google","/search.php",1
"(direct)","/",3
"(direct)","/diplomaengineeringcollege/j-j-c-e-trust-sanchalit-n-r-vrkaria-institute-of-technology-junagadh-",1
"(direct)","/engineeringcollege/k-j-institute-of-engineering-technology",1
"(direct)","/merit-calculator",1
"conduit","/",1
"google","/engineeringcollege/chhotubhai-gopalbhai-patel-institute-of-technology-tarsadi-bardoli",2
"google","/d2dintake/b-h-gardi-college-of-engg-technology-rajkot",1
"google","/gujarat-degree-pharmacy-college-list",1
"google","/gujarat-diploma-pharmacy-college-list",1
"google","/",10
"google","/gujarat-mca-colleges-list",1
"google","/me-mtech/government-engineering-college-sector-28-gandhinagar",1
"google","/medicalcollege/s-b-b-college-of-physiotherapy-v-s-hospital-ahmedabad",1
"google","/MBA-MCA/sardar-patel-college-of-administration-management-spcam-mba-sfi-bakrol-anand",1
"google","/medicalcollege/shree-sahajanand-institute-of-nursing-bhavnagar",1
"google","/search",1
"google","/diplomaengineeringcollege/swaminarayan-college-of-engineering-saij-kalol-",1
"google.co.in","/d2dpharmacy/veerayatan-institute-of-pharmacy-jakhania",1
"googleads.g.doubleclick.net","/",1
"(direct)","/diploma-admission-possibilities",1
"(direct)","/",3
"(direct)","/degreebranch1.php",1
"(direct)","/medical-admission-possibilities",1
"(direct)","/medicalintake/b-j-medical-college",1
"google","/architecture-college/anant-institute-of-architecture",1
"google","/diplomaengineeringcollege/butler-polytechnic-vadodara-",1
"google","/engineeringcollege/chhotubhai-gopalbhai-patel-institute-of-technology-tarsadi-bardoli",3
"google","/MBA-MCA/dr-d-y-patil-institute-of-management-bharuch",1
"google","/engineering-admission-possibilities",1
"google","/diploma-colleges-list",1
"google","/bindingmedical.php",1
"google","/",12
"google","/bindingmpharmcollege.php",1
"google","/new_mba_college_list.php",3
"google","/MBA-MCA/indukaka-ipcowala-institute-of-management-sfi-",2
"google","/pharmacycollege/r-d-gardi-govt-pharmacy-college-lakhtar",1
"google","/architecture-college/school-of-design-architecture-bhayli-vadodara-",1
"google","/MBA-MCA/shree-samanvay-institute-of-business-administration-sfi-botad-bhavnagar-",1
"google","/medicalcollege/shri-anand-college-of-nursing-rajkot",1
"google","/MBA-MCA/vjkm-institute-of-management-and-computer-studies-vadu",1
"google","/architecture-college/vyavasayi-vidya-pratishthan-s-indubhai-parekh-school-of-architecture-ipsa-",1
"googleads.g.doubleclick.net","/",1
"search.mywebsearch.com","/",1
"(direct)","/advertisewithus",1
"(direct)","/",4
"(direct)","/engineering-colleges-list",1
"google","/MBA-MCA/brahmanand-insitute-of-management-sfi-chaparda-junagadh",1
"google","/engineeringcollege/chhotubhai-gopalbhai-patel-institute-of-technology-tarsadi-bardoli",1
"google","/MBA-MCA/gls-institute-of-computer-technology-glsict-mba-ahmedabad-sfi-",1
"google","/diploma-colleges-list",1
"google","/",14
"google","/diplomaengineeringcollege/om-institute-of-engineering-technology-junagadh-",1
"google","/MBA-MCA/s-s-agarwal-institute-of-computer-science-navsari",1
